fecha,cp,minsplit,minbucket,maxdepth,xval_folds,ganancia,iteracion
20220911 042615,-0.276774394205131,5937,2567,8,5,20013000,1
20220911 042656,-0.492278932586487,4927,974,7,5,21027000,2
20220911 042745,-0.623418525814486,7405,1451,20,5,20013000,3
20220911 042837,-0.147768694259866,2914,99,12,5,23302000,4
20220911 042929,-0.928662606526632,5248,1097,14,5,20210000,5
20220911 043014,-0.956791600865836,1779,506,9,5,23159000,6
20220911 043117,-0.42856165173871,3533,286,18,5,21162000,7
20220911 043203,-0.189484139664273,6995,1804,10,5,20013000,8
20220911 043223,0.0116201111130068,7646,3581,17,5,0,9
20220911 043310,-0.838904211233603,6406,3017,17,5,20013000,10
20220911 043354,-0.0637415929192986,7396,1414,9,5,20013000,11
20220911 043433,-0.222378397500142,5371,54,7,5,19408000,12
20220911 043500,-0.598823998705484,4484,781,3,5,16740000,13
20220911 043542,-0.461296227100926,6936,2203,8,5,20013000,14
20220911 043630,-0.234363882720936,6032,2845,15,5,20013000,15
20220911 043721,-0.335324692819267,6763,1106,15,5,20089000,16
20220911 043814,-0.120020255429889,805,402,11,5,24685000,17
20220911 043905,-0.997396934229346,4917,2457,20,5,20770000,18
20220911 043959,-0.640106706648545,46,23,11,5,29874000,19
20220911 044059,-0.998309800534849,11,1,13,5,27375000,20
20220911 044143,-0.512186980944879,3,1,8,5,21773000,21
20220911 044244,-0.655503841338464,5,2,13,5,29031000,22
20220911 044341,-0.759405137298496,16,7,12,5,30335000,23
20220911 044436,-0.587772170547926,1538,769,12,5,22846000,24
20220911 044532,-0.723449284179748,315,156,12,5,28108000,25
20220911 044622,-0.869077168254785,7942,1,11,5,19667000,26
20220911 044711,-0.99929612552799,5091,2532,13,5,20770000,27
20220911 044835,-0.647400367889294,10,1,20,5,35889000,28
20220911 044959,-0.0202782714796202,4,1,20,5,36252000,29
20220911 045120,-0.286973049776488,3,1,19,5,35088000,30
20220911 045242,-0.253614053099768,355,1,20,5,30744000,31
20220911 045354,-0.999298321269816,6241,1,20,5,20342000,32
20220911 045416,0.0988391987906504,4,2,20,5,0,33
20220911 045537,-0.0432782734213244,391,5,20,5,31919000,34
20220911 045627,-0.0171232445924664,51,11,10,5,26955000,35
20220911 045720,-0.294044785630574,16,3,11,5,26930000,36
20220911 045841,-0.627154316854193,502,13,20,5,30918000,37
20220911 045956,-0.01935219452271,2726,4,20,5,24955000,38
20220911 050114,-0.285033720158777,2823,1,20,5,25071000,39
20220911 050237,-0.685324999189393,21,2,20,5,36822000,40
20220911 050400,-0.74136646200583,10,5,20,5,39876000,41
20220911 050524,-0.774381484059543,29,1,20,5,34988000,42
20220911 050640,-0.73853600416064,2410,2,20,5,25194000,43
20220911 050752,-0.329830665038133,348,142,20,5,28514000,44
20220911 050917,-0.727062416030556,4,2,20,5,37958000,45
20220911 051004,-0.534792930525462,7991,3994,20,5,20013000,46
20220911 051032,-0.747276564795628,7999,3996,3,5,16740000,47
20220911 051157,-0.879642209546726,19,3,20,5,37764000,48
20220911 051321,-0.845112355931297,14,4,20,5,38226000,49
20220911 051425,-0.864508988648895,16,6,14,5,32986000,50
20220911 051531,-0.861484760456516,923,451,20,5,24192000,51
20220911 051655,-0.162018983063745,12,1,20,5,35787000,52
20220911 051819,-0.0997719296068524,7,3,20,5,38594000,53
20220911 051848,-0.0551814901030651,4327,235,3,5,16740000,54
20220911 052005,-0.123047969317908,8,1,18,5,33633000,55
20220911 052107,-0.170078650414822,1493,703,20,5,23203000,56
20220911 052138,-0.919223886808044,13,2,4,5,16861000,57
20220911 052259,-0.743744521877959,236,23,20,5,32832000,58
20220911 052328,-0.711694251434556,2148,123,3,5,16740000,59
20220911 052420,-0.63843712677887,3197,1589,20,5,20891000,60
20220911 052449,-0.319506728280925,2658,1326,3,5,16740000,61
20220911 052608,-0.863055325272695,173,40,20,5,33502000,62
20220911 052730,-0.95213244603355,252,3,20,5,32124000,63
20220911 052836,-0.9998924864767,2255,298,20,5,22143000,64
20220911 052936,-0.836775090661035,3351,126,15,5,22234000,65
20220911 053100,-0.568695173546089,10,4,20,5,38569000,66
20220911 053225,-0.518493319805131,8,1,20,5,35988000,67
20220911 053343,-0.594822550489827,4,1,18,5,33828000,68
20220911 053502,-0.542092690137017,926,15,20,5,28806000,69
20220911 053530,-0.999838815435632,7998,3552,3,5,16740000,70
20220911 053633,-0.118696393123838,4299,461,20,5,21140000,71
20220911 053702,-0.172671234476026,6,2,3,5,16740000,72
20220911 053812,-0.740149005016159,4963,23,20,5,20188000,73
20220911 053841,-0.313086054979853,7999,408,3,5,16740000,74
20220911 053903,0.0996375524657189,2753,1191,3,5,0,75
20220911 053931,-0.999720781723118,3650,70,3,5,16740000,76
20220911 054043,-0.493178189710583,5747,2,20,5,20275000,77
20220911 054208,-0.0661276616808913,2,1,20,5,36370000,78
20220911 054237,-0.684560836156746,6,1,3,5,16740000,79
20220911 054328,-0.31970836150313,4626,1974,19,5,20891000,80
20220911 054414,-0.949009926320785,7996,3786,20,5,20013000,81
20220911 054533,-0.553378519793318,209,51,20,5,31814000,82
20220911 054653,-0.745026311478377,14,6,19,5,38950000,83
20220911 054813,-0.450161509107806,1390,7,20,5,27844000,84
20220911 054842,-0.822420366087412,5148,2572,3,5,16740000,85
20220911 054949,-0.672245057951957,1039,390,20,5,24317000,86
20220911 055108,-0.4353928409011,4,2,18,5,35534000,87
20220911 055211,-0.389104071459349,130,48,14,5,32300000,88
20220911 055304,-0.423511599514858,1079,195,11,5,24776000,89
20220911 055333,-0.568662003085895,7999,59,3,5,16740000,90
20220911 055402,-0.122430577884253,8000,29,3,5,16740000,91
20220911 055517,-0.51756406784982,2426,16,20,5,24799000,92
20220911 055634,-0.924555000966593,17,4,18,5,36003000,93
20220911 055722,-0.667421959810413,6027,2951,11,5,20013000,94
20220911 055822,-0.764213607806819,7998,524,20,5,20262000,95
20220911 055912,-0.264925721264378,8000,1345,20,5,20013000,96
20220911 055934,0.099856629774367,6893,630,3,5,0,97
20220911 060044,-0.414526441709635,7998,1,20,5,19971000,98
20220911 060112,-0.395014369184987,5430,2697,3,5,16740000,99
20220911 060212,-0.367916609627849,1996,763,16,5,22569000,100
20220911 060304,-0.248506455539046,3659,1804,13,5,20891000,101
20220911 060354,-0.728453545960256,3661,125,11,5,21808000,102
20220911 060441,-0.0949627815181256,5627,2812,10,5,20013000,103
20220911 060559,-0.103456741641587,188,77,20,5,31662000,104
20220911 060659,-0.0279790820232544,1432,244,14,5,24034000,105
20220911 060751,-0.226204263772321,1724,86,11,5,24358000,106
20220911 060848,-0.908520153830836,2668,880,20,5,21091000,107
20220911 060917,-0.098115561709772,1850,8,3,5,16740000,108
20220911 061007,-0.556773950727631,4563,2279,20,5,20770000,109
20220911 061036,-0.485640874717306,2906,238,3,5,16740000,110
20220911 061057,0.0352166936621944,4465,17,20,5,0,111
20220911 061126,-0.933249842365787,6542,7,3,5,16740000,112
20220911 061237,-0.133365668153643,6628,6,20,5,20084000,113
20220911 061401,-0.401440462419123,10,5,20,5,39876000,114
20220911 061451,-0.824485238041009,2035,1009,10,5,21497000,115
20220911 061545,-0.195283619714805,3073,1380,20,5,20891000,116
