fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	ganancia_prom	iteracion
20221002 025321	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	807299	0.106416873377748	0.499570641517639	4629	636	8573	25660000	25660000	1
20221002 025414	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	962041	0.106416873377748	0.499570641517639	4629	636	8573	27260000	26460000	2
20221002 025523	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	172	TRUE	705689	0.106416873377748	0.499570641517639	4629	636	8573	26700000	26540000	3
20221002 025634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	199	TRUE	909463	0.106416873377748	0.499570641517639	4629	636	8573	26060000	26420000	4
20221002 025717	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	637597	0.106416873377748	0.499570641517639	4629	636	8573	26300000	26396000	5
20221002 025751	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	807299	0.271798674675811	0.720866785030812	3045	488	9125	25750000	25750000	6
20221002 025813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	962041	0.271798674675811	0.720866785030812	3045	488	9125	25350000	25550000	7
20221002 025839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	705689	0.271798674675811	0.720866785030812	3045	488	9125	25190000	25430000	8
20221002 025859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	909463	0.271798674675811	0.720866785030812	3045	488	9125	26390000	25670000	9
20221002 025918	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	21	TRUE	637597	0.271798674675811	0.720866785030812	3045	488	9125	24870000	25510000	10
20221002 025947	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	807299	0.217842478352948	0.45996966611594	5301	765	10005	25270000	25270000	11
20221002 030026	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	962041	0.217842478352948	0.45996966611594	5301	765	10005	25590000	25430000	12
20221002 030107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	705689	0.217842478352948	0.45996966611594	5301	765	10005	26710000	25856666.6666667	13
20221002 030136	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	909463	0.217842478352948	0.45996966611594	5301	765	10005	25270000	25710000	14
20221002 030216	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	96	TRUE	637597	0.217842478352948	0.45996966611594	5301	765	10005	25990000	25766000	15
20221002 030250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	807299	0.158215083623829	0.604926390703768	5708	556	13751	24580000	24580000	16
