fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221118 232912	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	852	1	1	1	0.1	50	0.5	FALSE	962041	0.01010457404786	0.200107498070272	0.812698438414625	9.90150279927531	136	777	0.0219150652662063	16114.5	46371000	19
20221118 235108	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	295	1	1	1	0.1	50	0.5	FALSE	962041	0.0402560974486892	0.200130750943629	0.801476260257461	9.51299216878751	178	585	0.0289360104746844	16775	45650000	23
20221118 234853	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1009	1	1	1	0.1	50	0.5	FALSE	962041	0.010002659170946	0.333508553750209	0.827881095045364	9.99992776020742	127	847	0.0134588378748988	17032	45616000	22
20221118 233915	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1155	1	1	1	0.1	50	0.5	FALSE	962041	0.0101398825438081	0.200135924560522	0.702451274239936	9.99709631669471	127	719	0.0131931008868286	17093.5	45573000	21
20221119 010738	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	776	1	1	1	0.1	50	0.5	FALSE	962041	0.0100683043590296	0.24477004480579	0.872160225083904	9.45822101405925	185	613	0.0196535262948898	17241.5	45477000	34
20221119 004239	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1610	1	1	1	0.1	50	0.5	FALSE	962041	0.010055424088098	0.564157227668397	0.999340280185608	6.95544314039366	1047	124	0.0623315218944938	16586	45428000	32
20221118 235853	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1705	1	1	1	0.1	50	0.5	FALSE	962041	0.0100109444916804	0.596402120900381	0.825364608254653	6.06989941336241	1934	55	0.0754629305187371	17151.5	45297000	26
20221118 231456	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	970	1	1	1	0.1	50	0.5	FALSE	962041	0.0102505184376741	0.325252272791795	0.770110614312791	8.40742581456762	383	261	0.0427756953906738	17355	45090000	18
20221119 000746	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	900	1	1	1	0.1	50	0.5	FALSE	962041	0.0100367842096176	0.799231518061282	0.875117026727364	7.82466884919582	573	198	0.0401932027632401	17513	44814000	27
20221119 012641	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	801	1	1	1	0.1	50	0.5	FALSE	962041	0.0101225757345963	0.200267918342225	0.796216670792921	9.78369420963166	147	704	0.028058695288831	18481	44718000	36
20221118 225600	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	503	1	1	1	0.1	50	0.5	FALSE	962041	0.0387993597668537	0.553071713825921	0.714827980340488	9.48027355269005	182	510	0.00880823464649899	16513	44654000	13
20221119 003451	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6790	1	1	1	0.1	50	0.5	FALSE	962041	0.0101320442309077	0.54808623330298	0.0502600627445025	6.08833468832717	1910	3	0.0888654383828054	16823.5	44593000	31
20221118 224441	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	148	1	1	1	0.1	50	0.5	FALSE	962041	0.0735500860017782	0.291647670883685	0.833573540591169	6.88744888840301	1098	99	0.0724037565055423	17384	44592000	8
20221119 001459	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3441	1	1	1	0.1	50	0.5	FALSE	962041	0.0101132970677901	0.204796618666922	0.219307233387805	5.63498752454702	2615	11	0.0839185504313502	17079	44522000	28
20221119 002022	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1678	1	1	1	0.1	50	0.5	FALSE	962041	0.0103802700732603	0.200160040793697	0.743223833354903	6.22021114153844	1743	55	0.0730833556831235	17294.5	44451000	30
20221119 011720	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1739	1	1	1	0.1	50	0.5	FALSE	962041	0.0105344616513493	0.449924659620523	0.999982373525263	6.00035804568711	2030	64	0.0697602037945293	17866.5	44427000	35
20221118 233156	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	208	1	1	1	0.1	50	0.5	FALSE	962041	0.0418296055777505	0.203827249471244	0.998946480158192	9.99776416997698	127	1022	0.0166177660215333	18617	44366000	20
20221119 005419	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1143	1	1	1	0.1	50	0.5	FALSE	962041	0.0102312757872429	0.550040984574378	0.814932031085796	7.28922811342687	831	127	0.0519396662303685	17914	44292000	33
20221118 235159	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	157	1	1	1	0.1	50	0.5	FALSE	962041	0.152350064464841	0.200254566635832	0.665433905932086	5.7774271425598	2369	37	0.0806138443218794	16540	44240000	24
20221118 223943	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	187	1	1	1	0.1	50	0.5	FALSE	962041	0.216243138915452	0.530993584106909	0.539356709340791	5.78057227008685	2364	30	0.0803915076595102	16662.5	44195000	6
20221118 224822	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	191	1	1	1	0.1	50	0.5	FALSE	962041	0.144022825016727	0.716310446738498	0.133449979552825	5.393667907294	3091	6	0.0813111609378885	18006	43548000	12
20221118 223844	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	328	1	1	1	0.1	50	0.5	FALSE	962041	0.0841802912908315	0.414538768029888	0.282841214694054	7.79320214650943	586	63	0.0487791695010507	17928	43304000	5
20221118 230641	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	119	1	1	1	0.1	50	0.5	FALSE	962041	0.190266518313315	0.256154607823406	0.999664052730582	5.17791408327624	3590	36	0.0810005302355264	17203	43274000	17
20221118 235242	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	42	1	1	1	0.1	50	0.5	FALSE	962041	0.299969974589177	0.48712704272646	0.773905454737979	4.67011093043795	5104	20	0.09026769021709	17130	43260000	25
20221118 223703	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	127	1	1	1	0.1	50	0.5	FALSE	962041	0.109605990524287	0.778380617621588	0.512976232381334	6.60464286954084	1335	50	0.0647220926816318	17284.5	43231000	4
20221118 223056	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	118	1	1	1	0.1	50	0.5	FALSE	962041	0.129952996689681	0.584150605564355	0.430503321292053	4.43150318093831	6022	9	0.0828485488430905	17773	43134000	1
20221118 223554	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	202	1	1	1	0.1	50	0.5	FALSE	962041	0.0614336648710014	0.376929929191829	0.670940955516562	4.05755549229798	7804	11	0.0880054212727521	17471	43098000	3
20221118 223300	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	474	1	1	1	0.1	50	0.5	FALSE	962041	0.203168772332865	0.433847832423635	0.771915098407044	2.27340109169018	26879	4	0.0995495692329035	17146	42948000	2
20221118 224743	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	295	1	1	1	0.1	50	0.5	FALSE	962041	0.174400779389689	0.669676453887951	0.996237071225187	3.14312858368794	14709	9	0.0876960073012872	18175	42850000	11
20221119 001555	893	129949	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	186	1	1	1	0.1	50	0.5	FALSE	962041	0.165159844397709	0.799780652252263	0.808780469499581	5.73111577737864	2446	43	0.0733451802375367	18046.5	42667000	29
